time,s1,s2,s3,s4,s5,
8/30/2017,24.27,24.4,23.91,24.219999,24.219999,141200
8/31/2017,24.27,24.540001,24.27,24.49,24.49,223200
9/1/2017,24.51,24.58,24.290001,24.299999,24.299999,63300
9/5/2017,24.280001,24.5,24.049999,24.209999,24.209999,94300
9/6/2017,24.209999,24.32,23.9,23.959999,23.959999,83700
9/7/2017,24.02,24.059999,23.5,23.57,23.57,177800
9/8/2017,23.549999,23.889999,23.15,23.309999,23.309999,208800
9/11/2017,23.370001,23.67,23.370001,23.5,23.5,99500
9/12/2017,23.450001,24.110001,23.450001,23.91,23.91,74100
9/13/2017,23.879999,24.27,23.879999,24.15,24.15,125000
9/14/2017,24.129999,24.469999,23.780001,23.969999,23.969999,103100
9/15/2017,24,24.190001,23.799999,23.92,23.92,316100
9/18/2017,23.950001,24.35,23.889999,24.200001,24.200001,121500
9/19/2017,24.15,24.379999,24.110001,24.17,24.17,123300
9/20/2017,24.190001,24.74,24.040001,24.5,24.5,156900
9/21/2017,24.530001,24.98,24.51,24.9,24.9,187400
9/22/2017,24.860001,25.129999,24.860001,24.969999,24.969999,148400
9/25/2017,25,25.299999,24.959999,25.219999,25.219999,198300
9/26/2017,25.280001,25.51,25.190001,25.4,25.4,87400
9/27/2017,25.540001,25.780001,25.219999,25.74,25.74,111100
9/28/2017,25.719999,26.059999,25.530001,25.92,25.92,106800
9/29/2017,25.879999,25.879999,25.530001,25.6,25.6,60817
